sid,type,pid,pname
00005,F,C00019,THE HONGKONG AND SHANGHAI BANKING
00005,F,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD
00005,F,C00100,"JPMORGAN CHASE BANK, NATIONAL"
00005,F,C00010,CITIBANK N.A.
00011,F,C00019,THE HONGKONG AND SHANGHAI BANKING
00011,F,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD
00011,F,C00100,"JPMORGAN CHASE BANK, NATIONAL"
00011,F,C00010,CITIBANK N.A.
00011,F,C00018,HANG SENG BANK LTD
00011,F,C00033,BANK OF CHINA (HONG KONG) LTD
00011,F,B01284,HANG SENG SECURITIES LTD
00023,F,C00003,THE BANK OF EAST ASIA LTD
00023,F,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD
00023,F,C00019,THE HONGKONG AND SHANGHAI BANKING
00023,F,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD
00023,F,C00100,"JPMORGAN CHASE BANK, NATIONAL"
00023,F,C00033,BANK OF CHINA (HONG KONG) LTD
00023,F,B01209,GUOCOCAPITAL LTD
00023,F,C00010,CITIBANK N.A.
00023,F,B01118,EAST ASIA SECURITIES CO LTD
00388,F,C00019,THE HONGKONG AND SHANGHAI BANKING
00388,F,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD
00388,F,C00010,CITIBANK N.A.
00388,F,C00100,"JPMORGAN CHASE BANK, NATIONAL"
00388,F,C00033,BANK OF CHINA (HONG KONG) LTD
00388,F,C00018,HANG SENG BANK LTD
00388,F,B01284,HANG SENG SECURITIES LTD
00388,F,B01089,HSBC BROKING SECURITIES (HONG KONG) LTD
00388,F,B01130,BOCI SECURITIES LTD
00388,F,C00093,BNP PARIBAS SECURITIES SERVICES
00388,F,C00074,DEUTSCHE BANK AG
00939,F,C00019,THE HONGKONG AND SHANGHAI BANKING
00939,F,C00016,DBS BANK LTD
00939,F,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD
00939,F,C00100,"JPMORGAN CHASE BANK, NATIONAL"
00939,F,C00010,CITIBANK N.A.
00939,F,B01148,CHINA MERCHANTS SECURITIES (HK) CO LTD
01299,F,C00019,THE HONGKONG AND SHANGHAI BANKING
01299,F,C00039,STANDARD CHARTERED BANK (HONG KONG) LTD
01299,F,C00100,"JPMORGAN CHASE BANK, NATIONAL"
01299,F,C00010,CITIBANK N.A.
01299,F,C00093,BNP PARIBAS SECURITIES SERVICES
01299,F,C00016,DBS BANK LTD
01299,F,B01451,GOLDMAN SACHS (ASIA) SECURITIES LTD
01299,F,C00074,DEUTSCHE BANK AG
